PLAYER_NAME,SEASON,TEAM_ABBREVIATION,POSITION,PROFILE_GROUP,AGE,PTS,REB,AST,TS_PCT,USG_PCT,SCORING_PCTL,SHOOTING_PCTL,PLAYMAKING_PCTL,REBOUNDING_PCTL,DEFENSE_PCTL,EFFICIENCY_PCTL,RIM_PRESSURE_PCTL,CREATION_PCTL,ARCHETYPE
Aaron Wiggins,2022-23,OKC,Guard/Wing,Guard/Wing,24.0,17.4,7.7,2.9,0.607,0.143,30.13386066321874,67.87851130716966,19.729236385762093,69.09035594767265,18.83936720413751,92.6985092789778,46.856302606226556,17.329631883176148,Guard/Wing
Al Horford,2022-23,BOS,Guard/Wing,Guard/Wing,37.0,15.4,9.8,4.7,0.631,0.119,17.850623668999088,90.1886218436264,44.79008214177061,87.77760876178885,19.257681776696074,97.61180407666565,35.211946050096344,24.577882567690903,Guard/Wing
Alec Burks,2022-23,DET,Guard/Wing,Guard/Wing,31.0,26.9,6.5,4.7,0.602,0.218,85.30574992394281,90.75905080620628,53.559476726498325,56.63979312442957,8.906297535746882,91.10891390325526,68.9509177568198,62.32887131122604,Guard/Wing
Aleksej Pokusevski,2022-23,OKC,Guard/Wing,Guard/Wing,21.0,18.2,10.5,4.2,0.522,0.179,35.37420139945239,52.05354426528749,45.679951323395194,90.9872223912382,1.5591724977182841,35.23729844843322,41.79089341851739,43.65682993611196,Guard/Wing
Alex Caruso,2022-23,CHI,Guard/Wing,Guard/Wing,29.0,11.4,6.0,5.9,0.588,0.109,3.0346820809248554,58.929114694250075,55.45330088226347,50.45634317006389,46.942500760571946,85.26011560693641,24.738870297130106,28.722999695771225,Guard/Wing
Alperen Sengun,2022-23,HOU,Big,Big,20.0,24.4,14.9,6.4,0.599,0.211,76.25466611364578,78.78473662380755,96.01824968892576,73.12318540024886,35.32870178349233,80.15346329323933,74.89976496612746,83.17088345085027,Big
Andrew Nembhard,2022-23,IND,Guard/Wing,Guard/Wing,23.0,16.0,4.5,7.7,0.528,0.159,21.250380285975055,45.45177973836325,72.6878612716763,16.550045634317005,1.6428354122299968,40.279890477639185,34.1623567589494,49.01886218436264,Guard/Wing
Andrew Wiggins,2022-23,GSW,Guard/Wing,Guard/Wing,28.0,24.7,7.3,3.3,0.564,0.212,76.88621843626407,78.61271676300578,30.544569516276237,66.07849102525098,20.162762397322787,70.80164283541222,75.3625392962174,48.9199878308488,Guard/Wing
Anfernee Simons,2022-23,POR,Guard/Wing,Guard/Wing,24.0,29.1,3.6,5.6,0.581,0.247,90.78947368421053,83.13811986613933,64.31396410100395,4.175540006084575,4.806814724672954,81.60176452692424,79.59638981847682,75.24338302403407,Guard/Wing
Anthony Davis,2022-23,LAL,Big,Big,30.0,35.7,17.3,3.6,0.627,0.277,98.00912484446287,77.93446702613024,79.82165076731647,91.12401493156366,63.930941518042296,89.19535462463708,91.40743813078943,87.1630029033596,Big
